(∗´꒳`)	ω Mouths	emotions_neutral
(n˘v˘•)¬	Oh You…	emotions_neutral
(ง ◕ั⌑◕ั)ว ⁾	Oh You…	emotions_neutral
₍₍ (ง Ŏ౪Ŏ)ว ⁾⁾	Oh You…	emotions_neutral
(ง ´͈౪`͈)ว	Oh You…	emotions_neutral
ᕕ╏ ͡ ▾ ͡ ╏┐	Oh You…	emotions_neutral
(ﾍﾟ◇ﾟ)」	Oh You…	emotions_neutral
ᕕ[ ́ ل͜ ́ ]੭	Oh You…	emotions_neutral
₍₍ (ง ˙ω˙)ว ⁾⁾	Oh You…	emotions_neutral
(*´_ゝ｀)	Blushing Cheeks with an Asterisk	emotions_neutral
(*´∀`*)	Blushing Cheeks with an Asterisk	emotions_neutral
(*´ｪ｀*)	Blushing Cheeks with an Asterisk	emotions_neutral
｡(*^▽^*)ゞ	Blushing Cheeks with an Asterisk	emotions_neutral
(‘-’*)	Blushing Cheeks with an Asterisk	emotions_neutral
(*´∀`*)	Blushing Cheeks with an Asterisk	emotions_neutral
(*^^*)	Blushing Cheeks with an Asterisk	emotions_neutral
(*ﾟｰﾟ)ゞ	Blushing Cheeks with an Asterisk	emotions_neutral
(ノ*゜▽゜*)	Blushing Cheeks with an Asterisk	emotions_neutral
ฅ(*°ω°*ฅ)	Blushing Cheeks with an Asterisk	emotions_neutral
(*ﾟ∀ﾟ*)	Blushing Cheeks with an Asterisk	emotions_neutral
(*´ω｀*)	Blushing Cheeks with an Asterisk	emotions_neutral
(´ω｀*)	Blushing Cheeks with an Asterisk	emotions_neutral
(⁎❝᷀ົ ˙̫ ❝᷀ົ⁎)	Blushing Cheeks with an Asterisk	emotions_neutral
ε=ε=ε=ε=ε” “(/*’-‘*)/	Blushing Cheeks with an Asterisk	emotions_neutral
ヽ(＊>∇<)ﾉ	Blushing Cheeks with an Asterisk	emotions_neutral
(*´-｀*)	Blushing Cheeks with an Asterisk	emotions_neutral
( *’ω’* )	Blushing Cheeks with an Asterisk	emotions_neutral
( *∵* )	Blushing Cheeks with an Asterisk	emotions_neutral
*:ﾟ*｡⋆ฺ(*´◡`)	Blushing Cheeks with an Asterisk	emotions_neutral
