( ˘▽˘)っ	Food	misc_character-and-meme
◥█̆̈◤࿉∥	Food	misc_character-and-meme
(⋆‿⋆)	Food	misc_character-and-meme
ꊞ̩⁌•͡˻•⁍ᵒᵈᵃⁿᵍᵒ ⁿᵉ	Food	misc_character-and-meme
ℓ  ϚϦοςӧԼձϮϵ⃛	Food	misc_character-and-meme
（￣ｗ￣）Ψ	Food	misc_character-and-meme
くコ：彡｡≠(￣～￣ )	Food	misc_character-and-meme
(●´з―━━━ε｀●)	Food	misc_character-and-meme
(▼д▼)o-{{[〃]}}	Food	misc_character-and-meme
( ・・)つ―{}@{}@{}-	Food	misc_character-and-meme
( ・・)つ-●●●	Food	misc_character-and-meme
―●○◎-	Food	misc_character-and-meme
( ・・)つ―●○◎-	Food	misc_character-and-meme
(　´∀｀)つ―●○◎-	Food	misc_character-and-meme
♪o<( ´∀｀)っ┌iii┐	Food	misc_character-and-meme
(*･∀･)_Ω~	Food	misc_character-and-meme
(*ﾟДﾟ)つ-Oﾛ|>-	Food	misc_character-and-meme
ヽ|。´ェ｀|ﾉ ―■●▲	Food	misc_character-and-meme
(　・ω・)⊃-[二二]	Food	misc_character-and-meme
-●●●-ｃ(ω｀ｃ )	Food	misc_character-and-meme
―⊂ZZZ⊃	Food	misc_character-and-meme
─━━━━	Food	misc_character-and-meme
ʕ ಡ ﹏ ಡ ʔ⊃―{}@{}@{}-	Food	misc_character-and-meme
(　・ω・)⊃-[二> >二]-⊂(´∀｀ )	Food	misc_character-and-meme
>ﾟ)##)彡ｃ(｡･ェ･｡)っ━<コ：彡━	Food	misc_character-and-meme
( -_-)旦~	Drink	misc_character-and-meme
(*^◇^)_旦	Drink	misc_character-and-meme
(＃´ー´)旦	Drink	misc_character-and-meme
(＾-＾)＿日	Drink	misc_character-and-meme
~(=^‥^)_旦~	Drink	misc_character-and-meme
~~旦_(･o･;)	Drink	misc_character-and-meme
(　 ゜Д゜)⊃旦	Drink	misc_character-and-meme
( ´･ω･`)_且~	Drink	misc_character-and-meme
( ^-^)_旦””	Drink	misc_character-and-meme
(； ｀ｪ´ ；)b三b	Drink	misc_character-and-meme
(。・・)_且	Drink	misc_character-and-meme
(*｀▽´)_旦~~	Drink	misc_character-and-meme
~旦_(^O^ )	Drink	misc_character-and-meme
ｏ口(・∀・ )	Drink	misc_character-and-meme
且_(・_・ )	Drink	misc_character-and-meme
且_(ﾟ◇ﾟ；)ノﾞ	Drink	misc_character-and-meme
ⅽ[ː̠̈ː̠̈ː̠̈] ͌	Drink	misc_character-and-meme
~(* ￣)-3旦ε-(￣ *)	Drink	misc_character-and-meme
((｡･”･)o自☆自o(･”･｡))	Drink	misc_character-and-meme
ｰ( ￣▽)_皿~~	Drink	misc_character-and-meme
( ^-)_旦~~ (ﾟoﾟ;)	Drink	misc_character-and-meme
(　ﾟДﾟ)⊃旦	Drink	misc_character-and-meme
((((´∀｀)＿旦～	Drink	misc_character-and-meme
(*´ｪ｀*)っ旦~	Drink	misc_character-and-meme
~~旦　ゝ(´-ω-｀ )	Drink	misc_character-and-meme
~~旦_(-ω-｀｡)	Drink	misc_character-and-meme
~~旦⊂(･∀･ )	Drink	misc_character-and-meme
(○^ω^)_旦~~♪	Drink	misc_character-and-meme
!!”(*>∀<)o(酒)”	Drink	misc_character-and-meme
~~■P o(´・∀・｀ )	Drink	misc_character-and-meme
~~匸Pヽ(･ω･｀)	Drink	misc_character-and-meme
(*´・ω)o旦~┏┓	Drink	misc_character-and-meme
(*´-ω)o旦~┏┓	Drink	misc_character-and-meme
(　’ω’)旦~~┏━┓	Drink	misc_character-and-meme
( ͝° ͜ʖ͡°)つY	Drink	misc_character-and-meme
!(　・∀)つ且~~⊂(´∀｀ )	Drink	misc_character-and-meme
(●´▽｀●)_旦”☆”旦_(○´ー｀○)	Drink	misc_character-and-meme
ﾟ+｡:.(*･ω･)o旦　旦o(･ω･*).:｡+ﾟ	Drink	misc_character-and-meme
!(#ﾟДﾟ)ゞ‥･･━━━━━━旦~☆))｀ωﾟ)･;’.	Drink	misc_character-and-meme
(´・ω)ノ[|_|　|_|]ヽ(ω・｀)	Drink	misc_character-and-meme
( 。・_・。)人(。・_・。 )	High Five	misc_character-and-meme
( ⌒o⌒)人(⌒-⌒ )v	High Five	misc_character-and-meme
(･_･”)/＼(･_･”)	High Five	misc_character-and-meme
(*´∀｀*人*´∀｀*)	High Five	misc_character-and-meme
（*＾ω＾）人（＾ω＾*）	High Five	misc_character-and-meme
(°◇°人°◇°)	High Five	misc_character-and-meme
(=´∀`)人(´∀‘=)	High Five	misc_character-and-meme
(○｀ε´○)／＼(○｀ε´○)	High Five	misc_character-and-meme
ヘ( ^o^)ノ＼(^_^ )	High Five	misc_character-and-meme
( ｡･_･｡)人(｡･_･｡ )	High Five	misc_character-and-meme
（　＾＾）人（＾＾　）	High Five	misc_character-and-meme
(・_・”)／＼(・_・”)	High Five	misc_character-and-meme
(((＠°▽°＠)八(＠°▽°＠)))	High Five	misc_character-and-meme
(((*°▽°*)八(*°▽°*)))♪	High Five	misc_character-and-meme
(*･∀･)／＼(･∀･*)	High Five	misc_character-and-meme
（＾▽＾）／＼（＾▽＾）	High Five	misc_character-and-meme
(*^o^)人(^o^*)	High Five	misc_character-and-meme
(◎｀・ω・´)人(´・ω・｀*)	High Five	misc_character-and-meme
／(v x v｡)人(｡v x v)＼	High Five	misc_character-and-meme
＼（★´−｀）人（´▽｀★）／	High Five	misc_character-and-meme
☆-(ノﾟДﾟ)八(ﾟДﾟ )ノ	High Five	misc_character-and-meme
♡(*´∀｀*)人(*´∀｀*)♡	High Five	misc_character-and-meme
♪ヽ( ⌒o⌒)人(⌒-⌒ )v ♪	High Five	misc_character-and-meme
ヽ（　＾＾）人（＾＾　）ノ	High Five	misc_character-and-meme
ヽ(^ω^)人(^▽、^)ﾉ	High Five	misc_character-and-meme
ヽ(*^ｰ^)人(^ｰ^*)ノ	High Five	misc_character-and-meme
ヽ(∀゜ )人( ゜∀)ノ	High Five	misc_character-and-meme
♪(((#^-^)八(^_^*)))♪	High Five	misc_character-and-meme
(๑ ⁍̥̥̥᷅ ᴈ⁍̥̥̥᷅)人(⁌̥̥̥᷄ε ⁌̥̥̥᷄ ๑)ｰ	High Five	misc_character-and-meme
(｡• ̀д•́) 人 (•̀ω•́ )ﾊﾞ	High Five	misc_character-and-meme
ヾ(*⌒∇⌒)八(⌒∇⌒*)ツ	High Five	misc_character-and-meme
♪～(◔◡◔ิ)人(╹◡╹๑)～♪	High Five	misc_character-and-meme
ヾ(●･ｖ･人･ｖ･○)ﾉ	High Five	misc_character-and-meme
(▼▽▼)人(▼▽▼)	High Five	misc_character-and-meme
ヾ(●ﾟvﾟ)人(ﾟvﾟ○)ﾉ	High Five	misc_character-and-meme
(v´∀｀)ﾊ(´∀｀v)	High Five	misc_character-and-meme
(*●ω●)人(●ω●*)	High Five	misc_character-and-meme
(●゜□゜)人(゜□゜○)	High Five	misc_character-and-meme
(=゜ω゜)人(゜ω゜=)	High Five	misc_character-and-meme
ヽ(○｀･ェ･)人(･ェ･´●)ノ	High Five	misc_character-and-meme
|*゜ロ゜|人|゜ロ゜*|	High Five	misc_character-and-meme
♪(o=゜▽゜)人(゜▽゜=o)♪	High Five	misc_character-and-meme
(v〃∇〃)ハ(〃∇〃v)	High Five	misc_character-and-meme
ヾ(★´Д)人(Д｀☆)ノ゛	High Five	misc_character-and-meme
(♯ゝωσ♯)人(＋＞∀＜＋)ノ	High Five	misc_character-and-meme
(＊´ω｀人´∀｀＊)	High Five	misc_character-and-meme
(*・▽・)／＼(･▽･*）	High Five	misc_character-and-meme
┌|*゜ロ゜|人|゜ロ゜*|┐	High Five	misc_character-and-meme
ヽ（●´∀｀）人（´∀｀●）ノ	High Five	misc_character-and-meme
＼(#´▽｀)人(´▽｀#)ノ	High Five	misc_character-and-meme
