category	kaomoji	description
(* ^ ω ^)	Joy	
(´ ∀ ` *)	Joy	
٩(◕‿◕｡)۶	Joy	
☆*:.｡.o(≧▽≦)o.｡.:*☆	Joy	
(o^▽^o)	Joy	
(⌒▽⌒)☆	Joy	
<(￣︶￣)>	Joy	
。.:☆*:･'(*⌒―⌒*)))	Joy	
ヽ(・∀・)ﾉ	Joy	
(´｡• ω •｡`)	Joy	
(￣ω￣)	Joy	
｀;:゛;｀;･(°ε° )	Joy	
(o･ω･o)	Joy	
(＠＾◡＾)	Joy	
ヽ(*・ω・)ﾉ	Joy	
(o_ _)ﾉ彡☆	Joy	
(^人^)	Joy	
(o´▽`o)	Joy	
(*´▽`*)	Joy	
｡ﾟ( ﾟ^∀^ﾟ)ﾟ｡	Joy	
( ´ ω ` )	Joy	
(((o(*°▽°*)o)))	Joy	
(≧◡≦)	Joy	
(o´∀`o)	Joy	
(´• ω •`)	Joy	
(＾▽＾)	Joy	
(⌒ω⌒)	Joy	
∑d(°∀°d)	Joy	
╰(▔∀▔)╯	Joy	
(─‿‿─)	Joy	
(*^‿^*)	Joy	
ヽ(o^ ^o)ﾉ	Joy	
(✯◡✯)	Joy	
(◕‿◕)	Joy	
(*≧ω≦*)	Joy	
(☆▽☆)	Joy	
(⌒‿⌒)	Joy	
＼(≧▽≦)／	Joy	
ヽ(o＾▽＾o)ノ	Joy	
☆ ～('▽^人)	Joy	
(*°▽°*)	Joy	
٩(｡•́‿•̀｡)۶	Joy	
(✧ω✧)	Joy	
ヽ(*⌒▽⌒*)ﾉ	Joy	
(´｡• ᵕ •｡`)	Joy	
( ´ ▽ ` )	Joy	
(￣▽￣)	Joy	
╰(*´︶`*)╯	Joy	
ヽ(>∀<☆)ノ	Joy	
o(≧▽≦)o	Joy	
(☆ω☆)	Joy	
(っ˘ω˘ς )	Joy	
＼(￣▽￣)／	Joy	
(*¯︶¯*)	Joy	
＼(＾▽＾)／	Joy	
٩(◕‿◕)۶	Joy	
(o˘◡˘o)	Joy	
\(★ω★)/	Joy	
\(^ヮ^)/	Joy	
(〃＾▽＾〃)	Joy	
(╯✧▽✧)╯	Joy	
o(>ω<)o	Joy	
o( ❛ᴗ❛ )o	Joy	
｡ﾟ(TヮT)ﾟ｡	Joy	
( ‾́ ◡ ‾́ )	Joy	
(ﾉ´ヮ`)ﾉ*: ･ﾟ	Joy	
(b ᵔ▽ᵔ)b	Joy	
(๑˃ᴗ˂)ﻭ	Joy	
(๑˘︶˘๑)	Joy	
( ˙꒳​˙ )	Joy	
(*꒦ິ꒳꒦ີ)	Joy	
°˖✧◝(⁰▿⁰)◜✧˖°	Joy	
(´･ᴗ･ ` )	Joy	
(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧	Joy	
(„• ֊ •„)	Joy	
(.❛ ᴗ ❛.)	Joy	
(⁀ᗢ⁀)	Joy	
(￢‿￢ )	Joy	
(¬‿¬ )	Joy	
(*￣▽￣)b	Joy	
( ˙▿˙ )	Joy	
(¯▿¯)	Joy	
( ◕▿◕ )	Joy	
＼(٥⁀▽⁀ )／	Joy	
(„• ᴗ •„)	Joy	
(ᵔ◡ᵔ)	Joy	
( ´ ▿ ` )	Joy	
(ﾉ´ з `)ノ	Love	
(♡μ_μ)	Love	
(*^^*)♡	Love	
☆⌒ヽ(*'､^*)chu	Love	
(♡-_-♡)	Love	
(￣ε￣＠)	Love	
ヽ(♡‿♡)ノ	Love	
( ´ ∀ `)ノ～ ♡	Love	
(─‿‿─)♡	Love	
(´｡• ᵕ •｡`) ♡	Love	
(*♡∀♡)	Love	
(｡・//ε//・｡)	Love	
(´ ω `♡)	Love	
♡( ◡‿◡ )	Love	
(◕‿◕)♡	Love	
(/▽＼*)｡o○♡	Love	
(ღ˘⌣˘ღ)	Love	
(♡°▽°♡)	Love	
♡(｡- ω -)	Love	
♡ ～('▽^人)	Love	
(´• ω •`) ♡	Love	
(´ ε ` )♡	Love	
(´｡• ω •｡`) ♡	Love	
( ´ ▽ ` ).｡ｏ♡	Love	
╰(*´︶`*)╯♡	Love	
(*˘︶˘*).｡.:*♡	Love	
(♡˙︶˙♡)	Love	
♡＼(￣▽￣)／♡	Love	
(≧◡≦) ♡	Love	
(⌒▽⌒)♡	Love	
(*¯ ³¯*)♡	Love	
(っ˘з(˘⌣˘ ) ♡	Love	
♡ (˘▽˘>ԅ( ˘⌣˘)	Love	
( ˘⌣˘)♡(˘⌣˘ )	Love	
(/^-^(^ ^*)/ ♡	Love	
٩(♡ε♡)۶	Love	
σ(≧ε≦σ) ♡	Love	
♡ (⇀ 3 ↼)	Love	
♡ (￣З￣)	Love	
(❤ω❤)	Love	
(˘∀˘)/(μ‿μ) ❤	Love	
❤ (ɔˆз(ˆ⌣ˆc)	Love	
(´♡‿♡`)	Love	
(°◡°♡)	Love	
Σ>―(〃°ω°〃)♡→	Love	
(´,,•ω•,,)♡	Love	
(´꒳`)♡	Love	
♡(>ᴗ•)	Love	
(⌒_⌒;)	Embarrassment	
(o^ ^o)	Embarrassment	
(*/ω＼)	Embarrassment	
(*/。＼)	Embarrassment	
(*/_＼)	Embarrassment	
(*ﾉωﾉ)	Embarrassment	
(o-_-o)	Embarrassment	
(*μ_μ)	Embarrassment	
( ◡‿◡ *)	Embarrassment	
(ᵔ.ᵔ)	Embarrassment	
(*ﾉ∀`*)	Embarrassment	
(//▽//)	Embarrassment	
(//ω//)	Embarrassment	
(ノ*°▽°*)	Embarrassment	
(*^.^*)	Embarrassment	
(*ﾉ▽ﾉ)	Embarrassment	
(￣▽￣*)ゞ	Embarrassment	
(⁄ ⁄•⁄ω⁄•⁄ ⁄)	Embarrassment	
(*/▽＼*)	Embarrassment	
(⁄ ⁄>⁄ ▽ ⁄<⁄ ⁄)	Embarrassment	
(„ಡωಡ„)	Embarrassment	
(ง ื▿ ื)ว	Embarrassment	
( 〃▽〃)	Embarrassment	
(/▿＼ )	Embarrassment	
(///￣ ￣///)	Embarrassment	
(ノ_<。)ヾ(´ ▽ ` )	Sympathy	
｡･ﾟ･(ﾉД`)ヽ(￣ω￣ )	Sympathy	
ρ(- ω -、)ヾ(￣ω￣; )	Sympathy	
ヽ(￣ω￣(。。 )ゝ	Sympathy	
(*´ I `)ﾉﾟ(ﾉД｀ﾟ)ﾟ｡	Sympathy	
ヽ(~_~(・_・ )ゝ	Sympathy	
(ﾉ_；)ヾ(´ ∀ ` )	Sympathy	
(; ω ; )ヾ(´∀`* )	Sympathy	
(*´ー)ﾉ(ノд`)	Sympathy	
(´-ω-`( _ _ )	Sympathy	
(っ´ω`)ﾉ(╥ω╥)	Sympathy	
(ｏ・_・)ノ”(ノ_<、)	Sympathy	
(＃＞＜)	Dissatisfaction	
(；⌣̀_⌣́)	Dissatisfaction	
☆ｏ(＞＜；)○	Dissatisfaction	
(￣ ￣|||)	Dissatisfaction	
(；￣Д￣)	Dissatisfaction	
(￣□￣」)	Dissatisfaction	
(＃￣0￣)	Dissatisfaction	
(＃￣ω￣)	Dissatisfaction	
(￢_￢;)	Dissatisfaction	
(＞ｍ＜)	Dissatisfaction	
(」°ロ°)」	Dissatisfaction	
(〃＞＿＜;〃)	Dissatisfaction	
(＾＾＃)	Dissatisfaction	
(︶︹︺)	Dissatisfaction	
(￣ヘ￣)	Dissatisfaction	
<(￣ ﹌ ￣)>	Dissatisfaction	
(￣︿￣)	Dissatisfaction	
(＞﹏＜)	Dissatisfaction	
(--_--)	Dissatisfaction	
凸(￣ヘ￣)	Dissatisfaction	
